Multi-EDSM starting...

Preprocessing starting...
1. Shift-And
2. Pos2Pat
3. SuffixTree
4. OccVector
Preproccessing 100 patterns of total size M=15000 completed in 0.078389s.

Searching...
No. determinate bases (f): 59311682
No. degenerate bases (F): 126925
No. determinate segments (d): 61161
No. degenerate segments (D): 61884
No. strings processed shorter than pattern (N'): 160299
Multi-EDSM total processing time: 31.2335s.

106 matches found!

Position,PatternId
------------------
2830545,32
2893740,75
3654610,6
3713483,84
3760585,37
3763594,17
4266657,77
4583790,70
4705485,21
5177787,39
5623141,33
5897134,27
5906305,12
6051786,9
6199762,34
6300427,76
6369367,28
6447508,1
6627546,51
6857339,11
7106998,22
7119134,29
7287837,74
7512168,91
8201513,19
8230574,35
8285305,63
8471700,94
8606839,86
8809967,49
9076049,65
9077478,67
9136644,36
9147812,97
9777041,93
13411468,53
13413561,92
14198029,13
14294756,82
14340500,46
14693115,85
15094629,96
15134798,23
15582504,8
16212248,0
16280670,98
16295929,90
16345785,26
16488878,31
16717211,18
16958469,68
17267839,42
17293733,47
17321553,58
18018186,95
18498504,61
18910513,40
19428068,99
19618909,3
20058863,50
20323941,10
20367903,30
20623457,16
20890929,44
20943783,25
21407474,24
22125717,66
22461056,72
23038856,4
23193115,56
23426129,57
23450467,20
23567982,14
23650271,80
23898847,64
24151185,54
24251461,62
24266851,7
24792698,5
24841108,41
24974799,69
25241644,89
25496852,2
25611447,88
25760477,54
25870143,71
25885419,45
26000946,79
26608547,69
26875389,89
27112511,2
27190360,83
27235677,48
27272248,52
27383844,73
27417278,59
27922754,60
28043212,38
28064182,15
28104096,87
28267127,5
28315530,41
28426251,78
28757549,43
28767632,55
28798797,81
31.90user 0.05system 0:34.11elapsed 93%CPU (0avgtext+0avgdata 39256maxresident)k
32inputs+0outputs (0major+8717minor)pagefaults 0swaps
