Multi-EDSM searching...


No. determinate bases (f): 59311682
No. degenerate bases (F): 126925
No. determinate segments (d): 61196
No. degenerate segments (D): 61884
No. strings processed shorter than pattern (N'): 151764
EDSM-BV processing time: 18.5644s.

105 matches found!

Position,PatternId
------------------
2790601,81
3504295,1
4220985,46
4513237,8
4904352,86
5046698,74
5148048,48
5345062,58
5398060,90
5679975,29
6297580,42
6489103,77
6623874,56
6713925,53
7316375,44
7377775,98
8200089,50
8483963,73
8727264,72
8967297,65
8985187,60
13330979,16
13331917,14
13603572,55
14475980,54
14597790,22
14645981,28
14719772,82
14801100,10
14823555,66
14849360,24
14879180,85
14931000,92
15325603,6
15820589,3
16188103,67
16212292,12
16795240,43
16815213,80
17084475,97
17119783,31
17144393,34
17245733,32
17324785,87
17333064,76
17350624,49
17529676,59
17965616,69
18033802,0
18339790,61
18866259,89
19434604,5
19571308,52
19720959,7
19776109,4
19994211,78
20030380,27
20452686,99
20761122,57
20949236,47
21182186,21
21234193,95
21237763,25
21288957,40
21303852,26
21482555,13
21689010,63
21724654,33
22125647,79
22126272,2
22807342,96
22888784,83
22990382,23
23028834,70
23299680,35
23360779,68
23436308,36
23714036,91
23738968,71
23756495,9
23900715,45
24070855,30
24120020,75
24479913,94
24638359,41
24681947,20
24880297,15
25376309,88
25468256,37
25729308,75
26036354,18
26059707,93
26196257,78
26213829,64
26991504,38
27001544,88
27083928,37
27371041,62
27399825,19
27538003,51
27566656,84
27940842,17
28036050,11
28155918,20
28635513,39
19.34user 0.07system 0:19.43elapsed 99%CPU (0avgtext+0avgdata 26392maxresident)k
24inputs+0outputs (0major+7456minor)pagefaults 0swaps
