Multi-EDSM searching...


No. determinate bases (f): 59311682
No. degenerate bases (F): 126925
No. determinate segments (d): 61196
No. degenerate segments (D): 61884
No. strings processed shorter than pattern (N'): 151764
EDSM-BV processing time: 43.5577s.

119 matches found!

Position, PatternId
-------------------
3114508,53
3442482,60
3499058,73
3528083,95
3772435,45
4038494,14
4045200,74
4143784,2
4164043,27
4980804,89
5412861,7
6573342,91
6592173,39
6664115,50
6714644,38
6895721,17
6985634,41
7296658,46
7588311,28
8031028,40
8078122,68
8275515,99
8492209,75
9059615,80
9578229,81
9779359,48
13593648,69
13619571,0
14015469,47
14122054,98
14155203,88
14438398,33
14464074,36
14856834,72
15215833,77
15495256,49
15815369,25
15961958,79
16005780,76
16119032,59
16683017,37
16834380,67
16870721,58
17278363,31
17422993,86
17674482,9
17680747,93
17694376,52
17835732,54
18071266,16
18138552,48
18201261,5
18653558,13
18656455,71
18910241,61
19331523,19
19393204,94
19610419,83
19647506,82
19899463,29
20602012,62
20863690,8
20962769,20
21631093,64
21647030,51
21795453,66
21888124,92
22052461,70
22078667,87
22186131,12
22215503,34
23075898,21
23179526,43
23181563,3
23221380,43
23223418,3
23315620,35
23582778,97
23785560,15
24106302,57
24129270,11
24280837,85
24606573,22
24679595,55
24833168,65
25113610,56
25145768,42
25227226,84
25275581,10
25439283,30
25476887,90
25521604,44
25716110,57
25738559,11
25953684,78
25986626,32
26298260,6
26402752,24
26747351,56
26779510,42
26860970,84
26909295,10
27054962,30
27092547,90
27858798,63
28153566,55
28307602,65
28352353,1
28395229,96
28647477,26
28696585,23
28791476,18
28794356,18
28797229,18
28803739,18
28819056,18
58879373,4
58890040,4
58893619,4
44.41user 0.07system 0:46.77elapsed 95%CPU (0avgtext+0avgdata 26376maxresident)k
0inputs+0outputs (0major+8512minor)pagefaults 0swaps
