Multi-EDSM starting...

Preprocessing starting...
1. Shift-And
2. Pos2Pat
3. SuffixTree
4. OccVector
Preproccessing 161565 patterns of total size M=1937789 completed in 14.35s.

Searching...
No. determinate bases (f): 151417296
No. degenerate bases (F): 8817377
No. determinate segments (d): 3279291
No. degenerate segments (D): 3438849
No. strings processed shorter than pattern (N'): 7671726
Multi-EDSM total processing time: 18514.6s.

15601 matches found!

Position,PatternId
------------------
60225,26162
60380,140974
60381,69127
60381,143931
62083,118600
62812,20461
63168,151849
63169,107675
64133,89476
64283,61431
65987,61253
70549,75954
71156,89448
75760,92144
75761,83251
76078,25736
76079,48036
78057,97133
88154,16604
88155,92271
145438,83643
145439,28078
155571,97135
155572,109282
165949,11594
165949,96913
165951,153356
165952,113483
165953,129731
165958,28143
165983,37853
166510,105867
167986,128385
168991,34246
168992,138897
170681,94093
173430,63674
173901,107926
174483,28633
174484,132446
176919,89814
178387,113490
180825,141272
180887,131254
180888,14875
184701,122991
184765,48636
184871,152285
184873,30103
184874,54794
184874,134007
184897,66667
187507,140982
187610,42629
187611,80756
187612,107388
187612,107399
187612,17192
187612,17221
187612,17601
187612,17701
187613,85
187613,3028
187613,96296
187614,827
187614,17995
187614,95310
187614,105242
187615,99170
187615,99262
187615,106132
187615,159175
187615,160920
187615,160921
187616,117207
187616,117745
187619,52063
187621,50115
187845,95422
187851,24214
187852,45847
193331,118258
193441,35719
195587,17523
195589,103370
195592,132527
200478,94365
200479,160188
202574,39207
202576,144392
209783,93600
210304,67386
210933,93452
212076,36409
215829,107833
215966,124433
217318,58611
221743,103085
221886,57146
225319,58244
225320,36842
226121,128114
227722,7682
228179,68052
228225,8620
228456,46027
228457,3000
228457,94918
228457,96921
228457,97085
228492,155633
229776,61159
229776,147327
229777,42824
229777,160390
229778,82800
229778,85950
229778,160200
229778,160201
229778,161037
229779,113002
230288,46991
230840,150339
230841,102217
230844,134299
230886,11949
230887,146613
231008,33711
231294,3342
231294,3343
231294,52987
231294,52988
231294,96916
231295,108576
231296,21231
231296,109254
231296,109300
231299,104289
231300,79751
283750,116766
284868,86288
285155,130612
285157,148183
286144,112747
288593,47583
290361,42184
290361,109006
290361,110216
290363,421
290363,46477
290494,141783
291675,29252
291675,94947
292979,34933
292980,62742
293436,33201
294125,80876
294201,110766
294202,38489
294203,143535
294335,71290
294898,91748
294900,18035
295041,75354
295045,27140
295086,18508
295086,122453
295087,143032
295088,78468
295104,140783
295142,136797
295714,138815
295716,99161
295716,99517
296656,91852
297505,60942
298182,143164
298425,29573
298859,44446
299048,23163
299048,23126
299049,44268
299049,126996
299051,909
299053,115106
299053,116480
299054,131937
299469,113934
299483,10009
299514,67435
299731,78686
299732,102770
299736,106070
299736,99015
299737,30006
299737,31775
299738,133893
299738,133899
299740,45843
299887,156142
300114,63310
301078,83242
301621,95893
301763,110319
302618,122246
302854,21783
305224,145824
305811,60148
306289,59251
306353,73491
307362,122993
307764,128584
307845,137683
307846,41374
308554,18062
308556,119324
308556,119325
308793,2474
308795,155277
308797,62254
308904,27528
308908,123171
309902,48939
310010,56464
310011,116156
310012,53876
310293,4896
310295,46741
311409,127893
311411,107665
311413,31146
313780,36599
315688,115332
318243,8759
318252,122397
318253,142958
318253,142959
318253,67600
318254,78144
318255,9990
318257,17864
319089,154364
319091,55639
319801,43574
321657,103676
321657,12374
321658,75723
322249,149849
323242,16710
324964,110693
327290,114834
329890,44932
332575,134791
332844,20057
334079,155524
334085,136757
334087,67161
334842,61310
338830,122893
338865,142076
339523,26085
347717,154247
347718,30128
347719,54933
348030,70826
348037,1856
349789,115613
351735,146542
351832,62469
358416,86050
358417,11118
359078,65917
361200,126028
361202,107404
364454,98585
366645,157309
369488,141520
369489,72520
373633,96625
374325,117319
377206,22649
377276,153463
381151,145957
381152,158192
381155,146919
386832,48359
386833,9364
390072,126665
390073,91228
390074,77914
395668,5232
395871,150106
395872,139489
395874,114790
396094,52973
398939,38178
398940,143156
400098,65625
401948,25936
401948,113424
401949,129706
401950,9369
407271,18462
407273,107717
407274,99706
407275,118924
421779,68115
421779,143312
422203,56804
422205,6758
422205,6759
422205,99157
422206,118185
422208,30992
422209,56348
422209,66452
423954,145666
424034,43228
424035,86374
424036,36433
432101,66149
432101,66178
432200,772
434343,122710
437439,141732
437484,22146
437484,22149
442024,149347
443289,85607
444744,141717
446533,32771
455943,27654
460994,150398
463407,157553
463408,53511
463411,56115
463739,147404
463982,53605
463985,138751
468448,129229
471164,15436
471165,87995
471335,156231
485095,52084
485098,105179
485099,84683
485100,117174
485100,117427
485101,56139
485569,139899
486413,104046
486414,78049
486417,99466
487167,159209
487537,59871
490858,54073
490859,22921
490860,42365
490861,79211
497666,80151
505795,9800
505797,7851
505798,36262
506414,102214
506995,52466
509356,107542
509357,4245
512541,48497
513925,41601
513926,74792
517472,67498
517473,77936
517474,101520
518492,16308
523611,68433
524116,101127
524117,96863
524117,101128
524117,101505
524118,76775
524120,6463
524120,15759
524121,31133
524121,31146
524121,157826
526632,52695
532000,150058
532202,9203
532481,103225
532482,144953
539928,108254
539934,63313
576575,19398
576576,110534
576578,68671
579542,78129
579694,152495
580469,57465
580675,107249
581073,16648
581074,92672
582186,134
582187,1482
584937,110749
584978,139691
584980,31100
584981,135149
584983,54349
584984,28412
585006,157771
585264,93734
590451,27677
591495,65735
591540,74388
592094,128277
595161,17396
595202,80031
595636,32204
597775,50891
597776,15339
603239,141161
603240,144617
603241,154024
603243,53314
603431,52193
605803,39378
610400,73931
610990,158431
611074,18658
612268,53820
620220,37288
629367,33258
629368,60245
629372,39667
630031,6092
630387,95192
630388,5901
630388,96682
630389,29301
630390,133127
634160,78154
634383,45741
635362,142109
635364,96628
635364,131976
635863,24169
635864,127881
640586,137256
641366,158142
652074,74980
652075,1815
653724,27445
653904,160785
655612,104020
657994,15027
677311,47963
681764,90035
686305,7284
686674,66570
686833,79643
686834,104982
686853,106173
688780,2771
688784,117966
688785,136286
688960,47762
689604,141788
697142,5803
698225,131836
707661,18221
707662,101622
709518,35669
713972,58609
714233,68971
718537,49905
723578,22722
723578,22724
723580,146909
729368,136637
732655,7516
738839,28917
742138,18313
742253,96667
746530,77081
746531,99832
752149,96780
756097,79382
757100,99833
757671,34409
764999,137905
765001,149263
765002,7125
766063,122770
766064,143562
766954,155775
769810,114379
776971,50807
780434,102363
780437,27397
780437,62154
780437,62163
780602,137360
786732,73835
790128,18190
804380,40664
804381,146298
809860,9980
811465,139003
812094,72890
812150,92274
813394,56788
813395,31064
816283,61855
817545,103284
818937,64684
825394,85115
832841,89425
832846,156207
832847,90169
832848,91635
832849,80229
834610,10265
843253,35585
844614,149351
844648,157506
845052,107873
846405,21023
846407,136391
846408,36329
846409,141072
848071,113209
848755,30638
859806,66183
859807,75005
863878,31002
866928,46803
868076,101819
871393,23048
878566,91867
880159,115550
880160,132477
880564,115550
880565,132477
881279,139553
891994,152947
894692,9415
901636,130363
907074,79739
907075,960
907075,105141
907076,84537
908632,148283
919689,98116
919690,112671
919825,13134
925804,31859
929674,149979
934618,67232
934619,149495
934620,100307
938558,75746
943222,128759
949494,46213
949498,53350
952116,105124
952600,96705
952600,132207
953258,130240
959457,1842
959460,122332
963688,30980
963689,56333
963689,64732
963691,52889
966589,108066
966590,13693
966591,81787
966592,155968
966593,121679
968541,11746
968542,70657
970765,12054
971804,124786
971934,67880
977892,110624
978298,7966
983948,136870
984286,84166
984624,45694
985177,41228
985178,73639
989366,63869
989657,141272
990547,157289
993653,11891
995895,1632
996098,121523
997357,155880
997603,103267
1004744,15842
1005760,85432
1008231,69773
1015738,96951
1021359,156162
1021361,143070
1023021,17681
1025970,3228
1025973,135644
1025974,31030
1025974,32686
1025975,135061
1027036,142756
1029821,30743
1029822,134737
1030634,60990
1130102,92860
1206158,92860
1211606,136243
1212908,1669
1214645,49236
1216010,129816
1216010,48518
1216981,78746
1217265,119609
1217266,138889
1223605,141422
1227538,37816
1233485,72409
1235669,76373
1235671,115028
1245609,94707
1247879,30630
1247879,30653
1247879,30674
1247879,30627
