Multi-EDSM starting...

Preprocessing starting...
1. Shift-And
2. Pos2Pat
3. SuffixTree
4. OccVector
Preproccessing 161565 patterns of total size M=1937789 completed in 16.0552s.

Searching...
No. determinate bases (f): 131250808
No. degenerate bases (F): 8754019
No. determinate segments (d): 3738060
No. degenerate segments (D): 3974128
No. strings processed shorter than pattern (N'): 9001934
Multi-EDSM total processing time: 43058.1s.

24649 matches found!

Position,PatternId
------------------
92871,136788
94143,102477
119759,37027
119759,107935
119760,65952
122113,129879
124607,98783
124611,19609
124612,111411
126677,52860
128288,67783
132000,59303
135031,398
135032,3628
135335,137861
144627,17924
144628,5607
144629,28045
144629,28050
144630,51718
149730,32209
152202,53546
152203,118428
152205,59215
152205,137125
152206,123114
155745,126294
155746,155973
160006,24661
160007,128299
160007,128300
162502,147031
162816,27871
173539,79746
173540,14412
173540,14430
173540,14465
173541,84703
180505,127491
180507,9565
200384,67556
228996,128831
228997,5991
238849,138555
238850,17071
255227,97846
255228,111312
263712,136790
263714,67432
267991,7382
274626,16405
274631,53161
277046,45863
277797,40291
277798,71901
278987,145904
278990,33518
282063,88589
282993,71295
288875,141386
295682,44337
301922,123624
303155,37871
303156,142833
310562,77387
310564,36121
310564,36124
310564,36125
310565,140840
311038,143964
318930,70088
319041,16155
325251,117722
325252,57433
328032,105359
346475,106451
348997,6140
348999,133991
349124,37924
357306,155599
358344,94207
366314,39196
367060,62021
371356,88740
372771,61982
374320,85373
374321,119061
375697,107211
384461,105299
384463,32951
384973,75523
386424,138155
387612,52729
387614,106441
389477,92996
391573,2877
391576,96276
391577,14423
392416,14424
392692,96682
392738,93679
393171,18728
393173,156642
393174,40344
393405,136036
393494,154612
393536,14421
393538,30919
393719,3070
393722,39447
393891,3070
393894,39447
393933,12788
393934,15908
393935,100777
393936,146084
393937,39447
393937,158686
393937,158687
393967,3070
393969,59264
393970,39447
394616,158780
394618,145422
394651,7979
395387,48909
403586,9056
403587,125516
403589,10439
403591,122011
403592,134799
403639,93709
403659,93709
404468,94675
413218,78196
413707,57461
413713,43428
417831,110098
421150,95256
421474,89892
421572,90205
421572,157523
421575,21041
427531,7403
432163,59004
432163,32550
432653,34839
436131,158286
436138,32134
438120,1415
438526,122868
454310,98506
456271,100401
458531,4554
459965,39639
462308,108160
463253,103491
463254,147473
463617,35410
466388,83967
467827,129062
468054,50964
468076,142485
468077,76409
468530,129979
469258,3110
469797,96699
471358,62002
471661,54902
471662,112632
478045,149156
481054,4433
481055,111088
481057,161274
481061,118164
482516,78047
482591,13103
488212,55369
490584,64667
490679,43837
490681,151125
492250,144669
492922,155922
492923,121503
492924,141623
504631,108409
516659,129724
516719,134259
519061,113363
524766,83898
526424,65314
526597,89883
527729,122617
534702,40791
536356,33160
537818,80016
537819,105642
543199,141499
544877,85785
547710,99638
550762,83819
554962,85335
554964,60273
558071,102125
560301,132386
564279,27974
566590,81844
566591,110672
566593,142866
566593,142870
566593,142869
573124,66844
573124,122236
573126,149527
577515,45156
578875,128177
581721,7756
581946,51174
584463,109002
584465,128296
589015,45789
589049,93899
589053,74703
592597,153010
597322,37411
597323,66571
601354,66183
603331,18341
604545,32766
604545,115600
606189,76694
607838,147896
615512,101022
617209,140555
617210,66096
617211,74841
618930,96913
619371,161561
619373,161398
619942,86974
621134,106046
622042,33485
622043,138142
622043,138150
623438,116853
623802,111836
624269,95537
624891,76741
624892,6396
624964,149982
626097,81370
626097,152537
626098,109424
626099,27750
626279,22538
626279,156626
626280,11888
626494,69233
628708,15947
633278,72994
633279,159713
633281,21108
633281,109978
633288,102877
640747,113471
640763,50117
642887,106363
642888,39370
642888,39377
642888,158660
642889,144588
642890,83761
644387,24187
644388,127889
644970,12102
647858,111490
