Multi-EDSM searching...


No. determinate bases (f): 104698802
No. degenerate bases (F): 5644985
No. determinate segments (d): 2499345
No. degenerate segments (D): 2650738
No. strings processed shorter than pattern (N'): 7780287
EDSM-BV processing time: 251.21s.

104 matches found!

Position,PatternId
------------------
21158150,93
21498969,57
23143287,32
23292753,17
23391248,4
24495601,61
25278527,58
29640960,71
31143719,50
31627076,6
32429508,38
33601750,64
34503646,49
35475948,81
35505022,92
35933448,82
36173611,33
37749968,87
37970068,65
38616337,21
38912352,52
40058762,95
40509421,80
41249082,15
41249186,88
42898609,84
43583506,28
43925530,94
44136793,1
44430624,13
46419842,48
48133275,66
49059584,41
49897024,39
50188731,85
50396910,83
50592630,53
51009714,46
51083755,67
53168863,35
53309967,70
53634725,14
54247282,16
55574843,18
56485041,75
58337741,0
59499211,10
60435219,96
61547124,29
65303349,24
65489544,47
66483895,51
66635855,68
67009695,30
67372732,42
67862866,34
68045906,5
68935908,97
70031358,77
70289275,2
72168078,90
72293742,78
73586559,69
74407054,74
75611769,23
75914218,62
76179900,91
77317789,7
78187348,3
80865203,60
82982759,59
83528747,98
84814382,31
86258282,86
87196971,72
88881498,20
89331442,37
89503806,63
89815813,27
89956966,99
92243948,43
92663872,12
93100265,19
94340641,9
96950880,55
97172781,76
97724582,26
98213815,89
98335204,44
99018545,54
99301445,56
100908727,22
102282243,40
102357919,45
103105472,25
103999504,73
104505184,79
106037707,36
106085359,11
106104605,11
106128267,11
106201392,11
106229549,11
106735950,8
252.91user 2.40system 6:53.55elapsed 61%CPU (0avgtext+0avgdata 44872maxresident)k
0inputs+0outputs (0major+12573minor)pagefaults 0swaps
