Multi-EDSM started...


No. determinate bases (f): 100110690
No. degenerate bases (F): 5153430
No. determinate segments (d): 2281736
No. degenerate segments (D): 2420702
No. strings processed shorter than pattern (N'): 7010256
Multi-EDSM processing time: 190.813s.

101 matches found!

Position,PatternId
------------------
20837060,37
20859696,40
22543280,35
23734224,60
24294946,20
24590989,24
24977609,9
25167740,48
26909899,66
28246147,78
30018784,1
31022063,45
31346498,68
31644826,50
31784841,77
32186175,32
32563675,27
33519801,54
34890900,61
35617255,42
36162581,44
37585620,92
38960201,95
39184590,51
39813879,36
40522500,10
42307181,38
43847596,65
44969204,5
46119115,80
47027142,33
47077122,89
47295710,34
48899141,85
50253621,71
50353415,87
52958125,75
53637466,30
54973385,22
56129272,6
56293371,21
58089677,2
58497719,41
59382234,97
59492269,81
59529450,13
61344153,57
62005110,8
62864769,74
63545999,73
64604383,72
65332519,79
65850269,67
66626151,11
66641263,23
66748476,94
70010018,47
70942524,88
71923535,31
72330892,18
72469289,86
72911927,93
74605927,69
75675739,62
75880778,0
75983945,16
76025895,76
79512251,52
80221332,91
81293065,98
82722248,4
83098773,4
84665134,83
84748979,55
85446620,39
87116506,64
87187435,7
87347699,12
88187013,58
89885797,3
90411869,25
90793033,29
91321495,53
91704526,43
91898267,14
92430564,17
92742375,99
94170562,63
94618494,70
94635481,28
94786551,84
95326898,90
97413610,56
97779954,82
99270949,15
99737261,49
99978821,26
100191104,96
100313033,19
100394723,59
101767904,46
192.19user 2.56system 3:47.11elapsed 85%CPU (0avgtext+0avgdata 26288maxresident)k
0inputs+0outputs (0major+7901minor)pagefaults 0swaps
